date,symbol,side,lots,entry,exit,pnl
2024-01-02,EURUSD,long,0.5,1.09450,1.09770,160.00
2024-01-02,GBPUSD,short,0.3,1.27200,1.27050,45.00
2024-01-03,EURUSD,short,0.5,1.09600,1.09280,160.00
2024-01-04,USDJPY,long,0.4,144.500,144.100,-160.00
2024-01-04,EURUSD,long,0.3,1.09300,1.09480,54.00
2024-01-05,GBPUSD,long,0.5,1.27100,1.27650,275.00
2024-01-08,EURUSD,short,0.5,1.09800,1.09450,175.00
2024-01-08,USDJPY,short,0.4,145.200,145.600,-160.00
2024-01-09,EURUSD,long,0.3,1.09400,1.09200,-60.00
2024-01-10,GBPUSD,long,0.5,1.27300,1.27900,300.00
2024-01-10,EURUSD,long,0.5,1.09500,1.09650,75.00
2024-01-11,USDJPY,long,0.6,144.800,145.350,330.00
2024-01-12,EURUSD,short,0.4,1.09750,1.09900,-60.00
2024-01-12,GBPUSD,short,0.3,1.27800,1.27550,75.00
2024-01-15,EURUSD,long,0.5,1.09600,1.10100,250.00
2024-01-16,USDJPY,short,0.4,145.500,145.950,-180.00
2024-01-17,EURUSD,long,0.6,1.09900,1.10450,330.00
2024-01-18,GBPUSD,short,0.5,1.28200,1.27950,125.00
2024-01-19,EURUSD,long,0.5,1.10200,1.10750,275.00
2024-01-22,USDJPY,long,0.4,145.200,145.900,280.00
